selling_price,km_driven,fuel,seller_type,transmission,owner,seats,torque_rpm,mil_kmpl,engine_cc,max_power_new,No_of_years
450000,145500,Diesel,Individual,Manual,First Owner,5.0,2000,23.4,1248.0,74.0,9
370000,120000,Diesel,Individual,Manual,Second Owner,5.0,2500,21.14,1498.0,103.52,9
158000,140000,Petrol,Individual,Manual,Third Owner,5.0,2700,17.7,1497.0,78.0,17
225000,127000,Diesel,Individual,Manual,First Owner,5.0,2750,23.0,1396.0,90.0,13
130000,120000,Petrol,Individual,Manual,First Owner,5.0,4500,16.1,1298.0,88.2,16
440000,45000,Petrol,Individual,Manual,First Owner,5.0,11375,20.14,1197.0,81.86,6
96000,175000,LPG,Individual,Manual,First Owner,5.0,4500,17.3,1061.0,57.5,16
45000,5000,Petrol,Individual,Manual,Second Owner,4.0,2500,16.1,796.0,37.0,22
350000,90000,Diesel,Individual,Manual,First Owner,5.0,2400,23.59,1364.0,67.1,12
200000,169000,Diesel,Individual,Manual,First Owner,5.0,2000,20.0,1399.0,68.1,10
500000,68000,Diesel,Individual,Manual,Second Owner,5.0,2250,19.01,1461.0,108.45,9
92000,100000,Petrol,Individual,Manual,Second Owner,5.0,4500,17.3,993.0,60.0,18
280000,140000,Diesel,Individual,Manual,Second Owner,5.0,2000,19.3,1248.0,73.9,14
180000,90000,Petrol,Individual,Manual,Second Owner,5.0,3500,18.9,1061.0,67.0,14
400000,40000,Petrol,Individual,Manual,First Owner,5.0,3600,18.15,1198.0,82.0,7
778000,70000,Diesel,Individual,Manual,Second Owner,7.0,1750,24.52,1248.0,88.5,7
500000,53000,Diesel,Individual,Manual,Second Owner,5.0,2750,23.0,1396.0,90.0,11
150000,80000,Petrol,Individual,Manual,Second Owner,5.0,3000,19.7,796.0,46.3,21
680000,100000,Diesel,Individual,Manual,First Owner,5.0,2750,22.54,1396.0,88.73,7
174000,100000,Diesel,Individual,Manual,Second Owner,5.0,2000,21.0,1461.0,64.1,12
950000,50000,Diesel,Individual,Manual,First Owner,5.0,1750,25.5,1498.0,98.6,6
525000,40000,Diesel,Individual,Manual,First Owner,5.0,2000,26.59,1248.0,74.0,8
600000,72000,Diesel,Individual,Manual,First Owner,5.0,1750,21.5,1248.0,88.8,11
500000,35000,Petrol,Individual,Manual,First Owner,5.0,3500,20.3,1199.0,83.81,5
575000,45000,Petrol,Individual,Manual,First Owner,5.0,4000,21.4,1197.0,83.1,7
275000,28000,Petrol,Individual,Manual,First Owner,5.0,3500,24.7,796.0,47.3,6
300000,70000,Diesel,Individual,Manual,First Owner,7.0,1750,18.2,1248.0,73.8,10
220000,120000,Petrol,Individual,Manual,First Owner,5.0,3500,18.9,1061.0,67.0,14
254999,25000,Petrol,Individual,Manual,First Owner,8.0,2500,16.8,796.0,34.2,5
670000,70000,Diesel,Individual,Manual,First Owner,5.0,1750,24.3,1248.0,88.5,6
150000,35000,Petrol,Individual,Manual,Second Owner,5.0,3000,14.0,796.0,35.0,11
730000,2388,Petrol,Individual,Manual,First Owner,5.0,4000,18.6,1197.0,81.83,5
650000,16200,Diesel,Individual,Manual,First Owner,5.0,1750,24.3,1248.0,88.5,6
330000,10000,CNG,Individual,Manual,Second Owner,4.0,3500,33.44,796.0,40.3,4
366000,15000,Petrol,Individual,Manual,First Owner,5.0,3500,23.95,998.0,67.1,4
1149000,5000,Petrol,Individual,Manual,First Owner,5.0,4850,17.0,1591.0,121.3,4
150000,42000,Petrol,Individual,Manual,First Owner,5.0,4000,20.63,1198.0,67.0,7
425000,60000,Diesel,Individual,Manual,Second Owner,7.0,2700,13.93,2179.0,138.03,12
150000,76000,Petrol,Individual,Manual,First Owner,4.0,2500,16.1,796.0,37.0,11
2100000,5000,Petrol,Individual,Automatic,First Owner,5.0,2500,16.0,1368.0,160.77,4
925000,28900,Petrol,Dealer,Manual,First Owner,5.0,4600,17.8,1497.0,117.3,5
425000,86300,Petrol,Dealer,Manual,First Owner,5.0,4800,16.8,1497.0,116.3,10
675000,23300,Petrol,Dealer,Automatic,First Owner,5.0,4000,18.5,1197.0,83.14,5
819999,32600,Diesel,Dealer,Manual,First Owner,5.0,1750,24.3,1248.0,88.5,5
390000,10300,Petrol,Dealer,Manual,First Owner,5.0,3500,23.95,998.0,67.05,5
1500000,77000,Diesel,Dealer,Manual,First Owner,7.0,3400,12.55,2982.0,168.5,9
700000,99000,Diesel,Dealer,Manual,First Owner,7.0,3400,12.99,2494.0,100.0,10
1450000,27800,Diesel,Dealer,Automatic,Second Owner,5.0,4000,14.8,2143.0,120.7,9
425000,49800,Diesel,Dealer,Manual,First Owner,5.0,1750,24.7,1498.0,98.63,8
1090000,151000,Diesel,Dealer,Manual,First Owner,7.0,2500,13.5,2477.0,175.56,10
600000,54700,Diesel,Dealer,Manual,First Owner,5.0,1750,26.0,1498.0,98.6,8
850000,64000,Petrol,Dealer,Manual,First Owner,5.0,4400,20.65,1462.0,103.25,5
525000,63000,Diesel,Dealer,Manual,First Owner,5.0,1750,27.3,1498.0,98.6,8
1650000,127700,Diesel,Dealer,Automatic,Second Owner,7.0,3400,11.36,2755.0,171.5,7
950000,99000,Diesel,Dealer,Manual,First Owner,7.0,3600,12.99,2494.0,100.6,7
1750000,33900,Diesel,Dealer,Automatic,Second Owner,5.0,2500,17.68,1968.0,174.33,10
1590000,25000,Petrol,Dealer,Automatic,First Owner,5.0,4000,14.28,1798.0,138.03,5
1689999,50000,Diesel,Dealer,Automatic,First Owner,5.0,3000,18.53,1968.0,187.74,10
1425000,59000,Diesel,Dealer,Automatic,First Owner,5.0,2800,14.84,2143.0,170.0,10
265000,120000,Diesel,Individual,Manual,First Owner,5.0,3000,21.12,1248.0,88.8,12
190000,110000,Petrol,Individual,Manual,Third Owner,5.0,4000,20.36,1197.0,78.9,12
425000,60000,Diesel,Individual,Manual,First Owner,5.0,2750,21.27,1396.0,88.76,10
630000,147000,Diesel,Individual,Manual,Second Owner,5.0,2000,26.59,1248.0,74.0,8
600000,25000,Petrol,Individual,Manual,Third Owner,5.0,4000,18.16,1196.0,86.8,6
650000,30000,Petrol,Individual,Manual,First Owner,5.0,4000,21.4,1197.0,83.1,4
540000,40000,Diesel,Individual,Manual,First Owner,5.0,3000,22.0,1498.0,108.495,7
630000,135000,Diesel,Individual,Manual,First Owner,5.0,1750,25.1,1498.0,98.6,8
448000,30000,Petrol,Individual,Automatic,First Owner,5.0,3500,20.51,998.0,67.0,5
500000,80000,Diesel,Individual,Manual,First Owner,5.0,3000,21.66,1498.0,108.62,6
745000,70000,Diesel,Individual,Manual,First Owner,5.0,1750,24.3,1248.0,88.5,7
1025000,9850,Diesel,Individual,Automatic,First Owner,5.0,1750,24.3,1248.0,88.5,4
235000,60000,Petrol,Individual,Manual,Second Owner,5.0,4000,20.36,1197.0,78.9,12
630000,70000,Diesel,Individual,Manual,First Owner,5.0,2000,25.2,1248.0,74.0,7
1700000,78000,Diesel,Individual,Manual,Second Owner,7.0,3400,12.55,2982.0,168.5,8
450000,120000,Diesel,Individual,Manual,Second Owner,5.0,2000,22.9,1248.0,74.0,10
450000,120000,Petrol,Individual,Manual,Second Owner,7.0,4000,16.02,1373.0,93.7,11
450000,170000,Diesel,Individual,Manual,First Owner,5.0,2500,20.54,1598.0,103.6,10
1200000,140000,Diesel,Individual,Manual,First Owner,8.0,3600,12.99,2494.0,100.6,7
610000,90000,Diesel,Individual,Manual,First Owner,5.0,3250,22.77,1498.0,98.59,8
2500000,30000,Petrol,Individual,Automatic,Second Owner,5.0,4600,15.71,1998.0,189.0,7
484999,10000,Petrol,Dealer,Manual,First Owner,5.0,3500,23.1,998.0,67.04,6
275000,49000,Petrol,Dealer,Manual,First Owner,5.0,4000,19.02,1198.0,67.05,7
315000,32000,Petrol,Dealer,Manual,First Owner,5.0,3500,24.7,796.0,47.3,7
275000,38000,Petrol,Dealer,Manual,First Owner,5.0,3500,24.7,796.0,47.3,7
290000,28000,Petrol,Dealer,Manual,First Owner,5.0,9904,19.81,1086.0,68.05,11
280000,32000,Petrol,Dealer,Manual,First Owner,5.0,3000,14.0,796.0,35.0,6
225000,44000,LPG,Dealer,Manual,First Owner,5.0,3500,26.2,998.0,58.2,13
455000,42000,Petrol,Dealer,Manual,First Owner,5.0,3750,16.47,1198.0,74.0,8
351000,45000,Petrol,Dealer,Manual,Second Owner,5.0,9904,19.81,1086.0,68.05,8
535000,12000,Petrol,Dealer,Manual,Second Owner,5.0,3800,15.04,1598.0,103.6,11
175000,55500,Petrol,Dealer,Manual,First Owner,5.0,3500,18.2,998.0,67.1,14
525000,61500,Petrol,Dealer,Manual,First Owner,5.0,4000,18.5,1197.0,82.85,10
600000,150000,Diesel,Individual,Manual,First Owner,5.0,2000,26.59,1248.0,74.0,7
565000,72000,Petrol,Dealer,Automatic,First Owner,5.0,4000,19.1,1197.0,82.0,7
120000,68000,Petrol,Dealer,Manual,Third Owner,5.0,3000,19.7,796.0,46.3,15
725000,110000,Diesel,Individual,Manual,First Owner,5.0,2750,22.54,1396.0,88.73,6
185000,77000,Petrol,Dealer,Manual,Second Owner,5.0,3500,21.79,998.0,67.05,14
200000,100000,Diesel,Individual,Manual,Second Owner,5.0,3000,18.8,1248.0,90.0,13
615000,10000,Petrol,Individual,Manual,First Owner,5.0,4200,21.21,1197.0,81.8,4
270000,100000,Petrol,Individual,Manual,Third Owner,7.0,3000,15.37,1196.0,73.0,7
610000,35000,Petrol,Individual,Manual,First Owner,5.0,4000,21.4,1197.0,83.1,5
625000,70000,Diesel,Individual,Automatic,Second Owner,8.0,2800,11.79,2179.0,120.0,9
400000,5000,Petrol,Individual,Manual,Second Owner,5.0,4250,19.0,1194.0,94.68,3
866000,37800,Petrol,Individual,Manual,First Owner,5.0,4850,17.0,1591.0,121.3,6
700000,114000,Petrol,Individual,Manual,First Owner,5.0,4500,14.3,1798.0,160.0,13
300000,48000,Petrol,Individual,Manual,First Owner,5.0,3000,15.8,1172.0,65.0,13
1700000,32000,Diesel,Individual,Manual,First Owner,7.0,2800,15.1,2179.0,155.0,4
375000,100000,Diesel,Individual,Manual,First Owner,5.0,2500,19.09,1405.0,69.01,7
522000,150000,Diesel,Individual,Manual,Second Owner,5.0,2750,22.32,1582.0,126.32,10
451999,69000,Diesel,Individual,Manual,First Owner,5.0,2750,21.9,1396.0,88.76,10
300000,100000,Petrol,Individual,Manual,Second Owner,5.0,4000,14.53,1798.0,138.1,14
475000,13000,Petrol,Individual,Manual,First Owner,5.0,3500,21.63,998.0,67.04,3
780000,60000,Diesel,Individual,Manual,First Owner,5.0,1750,24.3,1248.0,88.5,7
595000,40000,Petrol,Individual,Manual,First Owner,5.0,4000,20.85,1197.0,83.14,6
440000,35000,Petrol,Individual,Manual,First Owner,5.0,3500,20.51,998.0,67.04,6
400000,70000,Diesel,Individual,Manual,Third Owner,5.0,1900,20.45,1461.0,83.8,9
1140000,50000,Diesel,Individual,Manual,First Owner,5.0,2750,19.67,1582.0,126.2,7
850000,76139,Diesel,Individual,Manual,First Owner,5.0,3250,23.0,1498.0,98.96,6
370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,5.0,2000,19.3,1248.0,73.9,11
350000,25000,Petrol,Individual,Manual,First Owner,5.0,4250,23.01,999.0,67.0,5
360000,40000,Petrol,Individual,Manual,Second Owner,5.0,3500,23.1,998.0,67.04,8
105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,5.0,3000,19.7,796.0,46.3,15
625000,90000,Diesel,Individual,Manual,Second Owner,7.0,1750,20.77,1248.0,88.76,10
135000,80000,Petrol,Individual,Manual,Second Owner,5.0,3000,17.92,1086.0,62.1,14
700000,110000,Diesel,Individual,Manual,Second Owner,7.0,1750,20.77,1248.0,88.76,8
690000,1303,Petrol,Dealer,Manual,First Owner,5.0,4500,17.8,1198.0,86.7,4
3975000,31800,Diesel,Dealer,Automatic,First Owner,5.0,3000,17.01,1968.0,188.0,5
5150000,20000,Petrol,Dealer,Automatic,First Owner,5.0,5200,22.37,2487.0,214.56,4
3200000,45000,Diesel,Dealer,Automatic,First Owner,5.0,2500,19.33,1999.0,177.0,6
4100000,17000,Petrol,Individual,Automatic,First Owner,5.0,4300,9.5,3604.0,280.0,6
4500000,21000,Diesel,Dealer,Automatic,First Owner,7.0,2250,12.83,1999.0,148.31,4
6000000,37000,Diesel,Dealer,Automatic,First Owner,5.0,2400,13.5,2987.0,254.79,6
3790000,29500,Diesel,Dealer,Automatic,First Owner,5.0,2500,22.48,1995.0,187.74,5
