iter	RMSE
0	744596.8118
1	683643.9491
2	629484.8119
3	580418.1519
4	535009.9048
5	494509.7856
6	459811.8861
7	428755.4454
8	400084.9304
9	374529.6732
10	350177.9933
11	330084.8489
12	311416.303
13	294776.3404
14	279990.0863
15	267370.4991
16	256072.2096
17	245278.9942
18	235301.8917
19	226690.3146
20	217902.9233
21	210775.0043
22	204611.6528
23	198107.2105
24	192937.5159
25	188644.5836
26	184727.3551
27	181040.8851
28	177285.081
29	173774.3624
30	171823.7727
31	169316.1914
32	167887.1593
33	166030.988
34	164592.041
35	162834.9782
36	161141.9056
37	160333.0546
38	158935.0643
39	158553.3091
40	157953.4052
41	156156.7161
42	154091.2658
43	153829.4604
44	153376.9765
45	151969.8257
46	151093.8854
47	150679.6427
48	150032.7493
49	149493.9697
50	148519.8424
51	148122.4252
52	147944.4368
53	147760.0879
54	147437.5688
55	147233.8576
56	147033.2081
57	146046.5872
58	145345.6014
59	144884.1567
60	144764.9965
61	144152.5445
62	142759.2112
63	141583.3969
64	140834.8917
65	140531.2173
66	139549.6515
67	139336.7246
68	138737.4995
69	137890.7809
70	137116.2992
71	136570.4893
72	136137.1433
73	135534.6199
74	135431.0892
75	135032.1458
76	134179.9387
77	133533.5604
78	132735.7586
79	132192.4331
80	131841.7152
81	130699.0385
82	129928.5556
83	129090.7438
84	128801.8757
85	128384.4107
86	127966.8355
87	127508.3175
88	126945.1607
89	126348.8045
90	125584.2658
91	124928.9414
92	124426.4861
93	123621.367
94	122876.2417
95	122652.2077
96	122438.3669
97	121897.0734
98	121061.1136
99	120501.0664
