iter	Passed	Remaining
0	139	139759
1	145	72425
2	149	49754
3	153	38109
4	156	31107
5	159	26449
6	163	23178
7	166	20677
8	170	18734
9	173	17201
10	177	15946
11	180	14879
12	184	13971
13	187	13204
14	190	12530
15	194	11953
16	197	11436
17	201	10976
18	204	10578
19	208	10206
20	211	9874
21	215	9564
22	218	9288
23	222	9040
24	225	8806
25	229	8595
26	233	8400
27	236	8209
28	240	8039
29	243	7874
30	246	7720
31	250	7578
32	254	7444
33	257	7314
34	260	7195
35	264	7075
36	267	6970
37	271	6866
38	274	6769
39	278	6678
40	281	6588
41	285	6505
42	288	6419
43	291	6337
44	295	6260
45	298	6191
46	302	6128
47	305	6064
48	309	6002
49	312	5944
50	316	5883
51	319	5826
52	322	5771
53	326	5721
54	331	5697
55	335	5650
56	338	5604
57	342	5559
58	345	5514
59	349	5468
60	352	5427
61	355	5385
62	359	5348
63	362	5307
64	366	5270
65	369	5231
66	373	5201
67	377	5170
68	380	5134
69	383	5099
70	388	5081
71	392	5062
72	396	5032
73	399	5004
74	403	4973
75	406	4946
76	410	4916
77	413	4893
78	417	4869
79	421	4844
80	424	4817
81	426	4778
82	430	4751
83	433	4726
84	436	4695
85	439	4671
86	442	4647
87	446	4623
88	449	4601
89	452	4577
90	456	4556
91	459	4534
92	462	4513
93	466	4493
94	469	4472
95	472	4453
96	476	4435
97	479	4416
98	483	4396
99	486	4377
100	489	4359
101	492	4334
102	495	4317
103	499	4300
104	502	4283
105	505	4266
106	509	4250
107	512	4232
108	515	4216
109	519	4200
110	523	4190
111	526	4175
112	528	4150
113	532	4134
114	535	4121
115	539	4107
116	542	4093
117	545	4079
118	549	4065
119	552	4050
120	555	4037
121	559	4024
122	562	4010
123	567	4006
124	570	3995
125	574	3983
126	577	3970
127	581	3961
128	585	3956
129	590	3949
130	594	3946
131	599	3940
132	602	3928
133	606	3917
134	609	3905
135	613	3896
136	617	3887
137	620	3876
138	624	3865
139	627	3855
140	630	3843
141	634	3832
142	637	3821
143	641	3811
144	644	3800
145	647	3789
146	651	3779
147	654	3769
148	658	3759
149	661	3749
150	665	3739
151	668	3729
152	672	3721
153	675	3712
154	679	3703
155	682	3693
156	686	3685
157	689	3676
158	693	3668
159	697	3659
160	700	3651
161	704	3642
162	707	3632
163	710	3623
164	714	3615
165	718	3608
166	722	3601
167	728	3605
168	732	3601
169	738	3604
170	742	3600
171	746	3595
172	751	3593
173	755	3586
174	759	3582
175	763	3576
176	768	3572
177	773	3574
178	779	3575
179	784	3572
180	789	3570
181	793	3566
182	800	3574
183	806	3576
184	810	3572
185	815	3568
186	820	3565
187	826	3568
188	832	3570
189	837	3569
190	841	3564
191	846	3562
192	853	3567
193	857	3563
194	863	3566
195	869	3568
196	874	3563
197	881	3568
198	888	3576
199	895	3580
200	899	3577
201	904	3573
202	909	3572
203	914	3568
204	919	3564
205	926	3569
206	934	3579
207	944	3596
208	952	3605
209	962	3620
210	984	3680
211	990	3681
212	999	3691
213	1009	3706
214	1015	3709
215	1021	3705
216	1027	3709
217	1032	3703
218	1037	3698
219	1043	3698
220	1049	3698
221	1053	3690
222	1059	3691
223	1066	3695
224	1075	3704
225	1082	3708
226	1089	3709
227	1093	3703
228	1097	3695
229	1102	3692
230	1108	3690
231	1112	3681
232	1116	3673
233	1122	3674
234	1126	3666
235	1141	3696
236	1145	3688
237	1149	3679
238	1154	3677
239	1158	3668
240	1162	3660
241	1168	3658
242	1172	3652
243	1176	3644
244	1180	3637
245	1185	3634
246	1189	3625
247	1193	3617
248	1196	3609
249	1204	3614
250	1208	3605
251	1211	3597
252	1217	3595
253	1221	3586
254	1225	3579
255	1228	3571
256	1234	3567
257	1237	3559
258	1241	3551
259	1246	3547
260	1250	3540
261	1254	3532
262	1257	3524
263	1262	3520
264	1267	3514
265	1271	3509
266	1275	3501
267	1279	3495
268	1285	3492
269	1290	3490
270	1294	3482
271	1299	3477
272	1303	3472
273	1307	3464
274	1311	3458
275	1316	3453
276	1320	3445
277	1324	3439
278	1329	3436
279	1333	3430
280	1338	3423
281	1341	3416
282	1346	3412
283	1351	3406
284	1354	3398
285	1358	3390
286	1362	3386
287	1366	3378
288	1370	3371
289	1374	3364
290	1379	3361
291	1383	3354
292	1387	3346
293	1390	3340
294	1396	3336
295	1399	3328
296	1403	3321
297	1407	3315
298	1412	3311
299	1416	3305
300	1420	3298
301	1424	3293
302	1429	3287
303	1433	3281
304	1436	3274
305	1441	3270
306	1446	3264
307	1449	3257
308	1454	3251
309	1458	3246
310	1462	3239
311	1465	3232
312	1469	3225
313	1474	3222
314	1478	3215
315	1482	3208
316	1487	3204
317	1492	3201
318	1496	3195
319	1500	3188
320	1507	3189
321	1512	3184
322	1516	3178
323	1523	3177
324	1527	3172
